"anyid","lat","lon"
1,33.61,-95.01
2,33.75,-94.14
3,32.58,-93.29
4,34.49,-94.37
5,32.89,-95.32
6,33.64,-92.80
7,34.26,-93.47
8,32.86,-93.08
9,32.91,-93.69
10,32.82,-92.40
11,32.35,-89.61
12,31.51,-91.41
13,31.94,-92.63
14,32.91,-93.69
15,35.39,-77.14
16,35.43,-79.12
17,35.26,-79.27
18,35.83,-78.87
19,34.50,-77.48
20,34.83,-77.58
21,35.83,-78.87
22,35.83,-79.56
23,35.31,-81.50
24,35.44,-79.21
25,35.95,-78.06
26,35.43,-79.12
27,33.66,-87.60
28,34.15,-87.61
29,33.58,-86.24
30,33.46,-86.08
31,34.17,-87.95
32,34.71,-85.94
33,34.55,-85.81
34,33.79,-84.50
35,34.29,-85.11
36,33.62,-83.96
37,34.21,-83.89
38,34.26,-84.08
39,33.98,-85.62
40,33.97,-84.19
41,34.18,-83.44
42,34.20,-84.44
43,34.01,-84.75
44,34.26,-84.33
45,34.43,-84.43
46,34.72,-84.45
47,34.05,-84.06
48,34.25,-85.34
49,33.91,-84.84
50,33.52,-85.03
51,33.29,-84.54
52,33.58,-83.87
53,33.73,-85.28
54,33.80,-84.46
55,33.80,-84.46
56,33.90,-84.57
57,33.24,-84.29
58,32.31,-89.01
59,33.11,-88.17
60,33.07,-85.33
61,36.39,-76.76
62,36.39,-76.32
63,36.21,-77.63
64,,
65,-77.14,
66,35.25,-78.30
67,36.08,-78.30
68,35.18,-77.32
69,35.50,-78.33
70,35.41,-77.42
71,35.86,-76.78
72,35.21,-77.11
73,34.33,-78.24
74,35.26,-78.03
75,35.49,-78.35
76,35.60,-79.05
77,34.97,-80.06
78,35.40,-79.71
79,34.30,-81.62
80,35.11,-78.31
81,33.81,-79.01
82,35.64,-78.99
83,34.75,-79.40
84,35.01,-80.34
85,34.76,-79.40
86,34.20,-81.46
87,34.36,-82.29
88,33.40,-80.84
89,34.40,-81.62
90,34.54,-81.84
91,33.55,-80.72
92,33.01,-81.31
93,33.42,-79.45
94,33.81,-79.01
95,34.28,-79.86
96,34.65,-78.55
97,33.40,-80.83
98,34.30,-81.62
99,35.01,-80.34
100,34.76,-79.40
101,32.85,-82.39
102,31.90,-82.56
103,34.35,-82.30
104,33.02,-81.31
105,32.96,-83.86
106,33.86,-87.31
107,33.04,-83.24
108,32.96,-83.86
109,33.41,-82.64
110,33.61,-82.26
111,33.41,-82.64
112,33.32,-81.90
113,31.85,-82.57
114,33.02,-81.31
115,32.73,-81.24
116,32.52,-82.32
117,32.51,-82.33
