"AnyID","address","city","state","zip","country"
1,"179 SPANISH POINT DR","BEAUFORT","SC","29902","USA"
2,"274 BIRCH DR","LAUREL BAY","SC","29902","USA"
5,"2026 SE ELLIOTT","PORTLAND","OR","97214","USA"
17,"11 Wall Street","New York","NY","10005","USA"
18,"350 Fifth Avenue","New York","NY","10065","USA"
19,"4059 Mt Lee Dr.","Hollywood","CA"," 90068","USA"
20,"Statue of Liberty","New York","NY","10004","USA"
21,"4900 POPLAR AVENUE","MEMPHIS","TN","38117","USA"
22,"126 BEALE ST.","MEMPHIS","TN","38103","USA"
23,"126 BEALE ST.","MEMPHIS","Tenn.","38103","USA"
24,"Graceland  P.O. Box 16508","Memphis","TN","38186","USA"
40,,"ALBEKERKY","NM","","USA"
41,"IP010 0010 INTERNATIONAL PAPER","TICONDEROGA","NY","12883","USA"
42,"IP039 0039 INTERNATIONAL PAPER","ONTARIO","CA","91761","USA"
43,"IP066 USCB - CHICAGO","CHICAGO","IL","60638","USA"
44,"IP085 0085 INTERNATIONAL PAPER","TERRE HAUTE","IN","47802","USA"
45,"IP137 USCB - Shreveport","SHREVEPORT","LA","71107","USA"
46,"IP140 USCB - EL PASO","EL PASO","TX","79907","USA"
47,"IP162 USCB - CARSON","CARSON","CA","90745","USA"
48,"IP167 USCB - PUTNAM","PUTNAM","CT","06260","USA"
49,"IP168 USCB - MURFREESBORO","MURFREESBORO","TN","37129","USA"
50,"IP172 USCB - BAY MINETTE","BAY MINETTE","AL","36507","USA"
432,"IP9426 6399 INTERNATIONAL PA*DO NOT USE*","SPARTANBURG","SC","29302","USA"
613,"Southeastern Paperboard","Piedmont","SC","29673","USA"
614,"Southeastern Paperboard  Piedmont SC","Piedmont","SC","29673","USA"
615,"Milliken Coated Prod   White Stone SC","White Stone","SC","29386","USA"
616,"Milliken Packaging Inc    White Stone SC","White Stone","SC","29386","USA"
617,"Southern States Pkg  SpartanburgSC","Spartanburg","SC","29307","USA"
618,"Interstate Container Columbia SC","Columbia","SC","29210","USA"
619,"Interkraft SC LLC  (PARENT)","Greenville","SC","29615","USA"
620,"Georgia Pacific  Spartanburg Sc","Spartanburg","SC","29302","USA"
621,"Southeastern Paperboard Piedmont SC","Piedmont","SC","29673","USA"
622,"Lexington Plant","Lexington","SC","29072","USA"
