anyID,"address","city","state","zip","country"
21215,,MEMPHIS,TN,38104,US
21221,,MEMPHIS,TN,38106,US
21224,,MEMPHIS,TN,38107,US
21227,,MEMPHIS,TN,38108,US
21230,,MEMPHIS,TN,38109,US
21470,,NASHVILLE,TN,37205,US
21471,,NASHVILLE,TN,37206,US
21472,,NASHVILLE,TN,37207,US
21474,,NASHVILLE,TN,37208,US
21475,,NASHVILLE,TN,37209,US
50391,,SAVANNAH,GA,31401,US
50394,,SAVANNAH,GA,31404,US
50397,,SAVANNAH,GA,31405,US
50401,,SAVANNAH,GA,31406,US
50595,,BEAUFORT,SC,29902,US
50603,,BEAUFORT,SC,29906,US
70731,,CHICAGO,IL,60605,US
70733,,CHICAGO,IL,60607,US
70734,,CHICAGO,IL,60608,US
70736,,CHICAGO,IL,60609,US
