"AnyID","address","city","state","zip","country"
"0003","Hudson River Mill","HUDSON RIVER","NY",,"US"
"0010","568 Shore Airport Rd","Ticonderoga","NY","12883","US"
"0034","Riley Road, PO Box 20","Jay","ME","04239","US"
"0063","77622 US Hwy 101","Gardiner","OR","97441","US"
"0085","2401 PRAIRIETON RD","TERRE HAUTE","IN","47802","US"
"0113","361 FEDERAL RD","RIEGELWOOD","NC","28456","US"
"01IA","2800 Dixon Street","Des Moines","IA","50316","US"
"01IL","1225 W. Bryn Mawr Ave","Itasca","IL","60143","US"
"0201","1640 E Lake Rd","Erie","PA","16533","US"
"0202","Park Street Entrance","Lock Haven","PA","17745","US"
"0204","101 Mitchell St","Oswego","NY","13126","US"
"0205","601 County Rd 78","Selma","AL","36703","US"
"0230","705 Colliers Lane","Bastrop","LA","71220","US"
"0240","3737 Hwy 3 N","Redwood","MS","39156","US"
"0241","9978 FM Rd 3129","Queen City","TX","75572","US"
"0259","700 S Kaminski St","Georgetown","SC","29440","US"
"0261","61 Carthage Point Rd","Natchez","MS","39120","US"
"0262","5201 Fairfield Rd","Pine Bluff","AR","71601","US"
"0268","1202 HIGHWAY 509","MANSFIELD","LA","71052","US"
"0269","300 Williams Lake Rd","Pineville","LA","71360","US"
"02GA","1201 W. Lathrop Ave","Savannah","GA","31415","US"
"02MI","Co Rd Class A","Newberry","MI","49868","US"
"0325","2701 Indian Hut Rd","Georgetown","SC","29440","US"
"0329","Hwy 82 E","New Boston","TX","75570","US"
"0330","2600 S Arkansas St","Springhill","LA","71075","US"
"0334","2708 Hwy 53 S","Gurdon","AR","71743","US"
"0337","609 Industrial Dr","Henderson","TX","75652","US"
"0338","1400 S Main St","Leola","AR","72084","US"
"0345","1633 S First St","Wiggins","MS","39577","US"
"0346","Hwy 67 N, #1 IP Lane","Gurdon","AR","71743","US"
"0376","3000 KNIGHT ST","SHREVEPORT","LA","71105","US"
"0397","7475 AL Hwy 22","Maplesville","AL","36750","US"
"03WI","Highway US 141","Pembine","WI","54156","US"
"0491","4206 Mike Padgett Hwy, Gate 74","Augusta","GA","30906","US"
"04KY","401 Rail Street","London","KY","40741","US"
"04LA","2806 Williamson Way","Shreveport","LA","71118","US"
"05KY","285 SAVOY CLEAR CREEK RD","WILLIAMSBURG","KY","40769","US"
"05OK","100 HC 74","WRIGHT CITY","OK","74766","US"
"0609","100 Gaston Rd","Roanoke Rapids","NC","27870","US"
"0618","375 MUSCOGEE RD","CANTONMENT","FL","32533","US"
"0627","16504 COUNTY ROAD 150","COURTLAND","AL","35618","US"
"0628","U.S. Highway 2","Quinnesec","MI","49876","US"
"0630","River Rd","Bucksport","ME","04416","US"
"0633","100 E Sartell St","Sartell","MN","56377","US"
"0648","34 Valley View","Woronoco","MA","01097","US"
"0650","Paper Mill Rd","Erving","MA","01344","US"
"0660","4278 MIKE PADGETT HWY","AUGUSTA","GA","30906","US"
"0661","865 John L. Riegel Rd","Riegelwood","NC","28456","US"
"06GA","Hwy 80 W.","Bloomingdale","GA","31302","US"
"06MI","US Highway 41","Rapid River","MI","49878","US"
