id,address,city,state,zip,newzip,ziplat,ziplon,zip_geo_city,zip_status,lat,lon,time
1,521 SWARTHMORE AVENUE,PACIFIC PALISADES,CA,90272-4350,90272,34.08,-118.54,Pacific Palisades,ZIP5_uszipcode,34.038653,-118.528399,2020-08-20 21:58:09.905288
2,2015 W TEMPLE STREET,LOS ANGELES,CA,90026-4913,90026,34.08,-118.26,Los Angeles,ZIP5_uszipcode,34.07000554146422,-118.26713036531687,2020-08-20 21:58:10.202105
3,1605 W OLYMPIC BLVD #9023,LOS ANGELES,CA,90015-3828,90015,34.04,-118.27,Los Angeles,ZIP5_uszipcode,34.049876,-118.274536,2020-08-20 21:58:10.498923
4,1715 W FLORENCE AVENUE,LOS ANGELES,CA,90047-2220,90047,33.95,-118.31,Los Angeles,ZIP5_uszipcode,33.97474833,-118.30743,2020-08-20 21:58:10.764499
5,3806 W PICO BLVD,LOS ANGELES,CA,90019-4304,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.04722943139816,-118.32066345699283,2020-08-20 21:58:11.076939
6,260 S UNION AVENUE #1,LOS ANGELES,CA,90026-5452,90026,34.08,-118.26,Los Angeles,ZIP5_uszipcode,34.061848,-118.266951,2020-08-20 21:58:11.525560
7,3115 VENICE BLVD,LOS ANGELES,CA,90019-6238,90019,34.05,-118.34,Los Angeles,ZIP5_uszipcode,34.04359751548596,-118.32163852401807,2020-08-20 21:58:11.744269
8,2601 W PICO BLVD #2,LOS ANGELES,CA,90006-3901,90006,34.05,-118.29,Los Angeles,ZIP5_uszipcode,34.04743667,-118.29491,2020-08-20 21:58:12.094503
9,4151 BEVERLY BLVD,LOS ANGELES,CA,90004-4461,90004,34.08,-118.31,Los Angeles,ZIP5_uszipcode,34.076475,-118.299637,2020-08-20 21:58:12.344851
10,3049 W 8TH STREET #763,LOS ANGELES,CA,90005-1873,90005,34.06,-118.31,Los Angeles,ZIP5_uszipcode,34.057993,-118.293257,2020-08-20 21:58:12.629100
11,1150 VENICE BLVD,LOS ANGELES,CA,90015-3214,90015,34.04,-118.27,Los Angeles,ZIP5_uszipcode,34.04210167,-118.28096167,2020-08-20 21:58:12.847005
12,1201 W MANCHESTER AVENUE,LOS ANGELES,CA,90044-2237,90044,33.95,-118.29,Los Angeles,ZIP5_uszipcode,33.960337,-118.296101,2020-08-20 21:58:13.128202
13,10611 S HOOVER STREET,LOS ANGELES,CA,90044-4443,90044,33.95,-118.29,Los Angeles,ZIP5_uszipcode,33.939493,-118.28721,2020-08-20 21:58:13.378154
14,1220 S SHENANDOAH STREET,LOS ANGELES,CA,90035-2238,90035,34.05,-118.39,Los Angeles,ZIP5_uszipcode,34.05499,-118.381282,2020-08-20 21:58:13.643733
15,10510 ODESSA AVENUE,GRANADA HILLS,CA,91344-6721,91344,34.29,-118.5,Granada Hills,ZIP5_uszipcode,34.261519,-118.491226,2020-08-20 21:58:13.823909
16,114 E 5TH STREET,LOS ANGELES,CA,90013-1416,90013,34.05,-118.24,Los Angeles,ZIP5_uszipcode,34.04686,-118.24178167,2020-08-20 21:58:14.089501
17,5852 CORBIN AVENUE,TARZANA,CA,91356-1005,91356,34.16,-118.55,Tarzana,ZIP5_uszipcode,34.17734,-118.561599,2020-08-20 21:58:14.339434
18,1836 W IMPERIAL HIGHWAY,LOS ANGELES,CA,90047-5020,90047,33.95,-118.31,Los Angeles,ZIP5_uszipcode,33.930533,-118.310771,2020-08-20 21:58:14.589387
19,837 W IMPERIAL HIGHWAY,LOS ANGELES,CA,90044-4110,90044,33.95,-118.29,Los Angeles,ZIP5_uszipcode,33.93112033,-118.2904665,2020-08-20 21:58:14.826507
20,3780 WILSHIRE BLVD #910,LOS ANGELES,CA,90010-2840,90010,34.06,-118.3,Los Angeles,ZIP5_uszipcode,34.061159,-118.308466,2020-08-20 21:58:15.182745
21,16600 HAMLIN STREET,LAKE BALBOA,CA,91406-5615,91406,34.2,-118.49,Van Nuys,ZIP5_uszipcode,34.188187,-118.494746,2020-08-20 21:58:15.401453
22,11565 LAUREL CANYON BLVD #100 3,SAN FERNANDO,CA,91340-4168,91340,34.29,-118.44,San Fernando,ZIP5_uszipcode,34.280052,-118.455064,2020-08-20 21:58:15.651404
23,5230 KESTER AVENUE #4,SHERMAN OAKS,CA,91411-4019,91411,34.18,-118.46,Van Nuys,ZIP5_uszipcode,34.165734,-118.457037,2020-08-20 21:58:15.874215
24,8117 CREIGHTON AVENUE,LOS ANGELES,CA,90045-2709,90045,33.96,-118.4,Los Angeles,ZIP5_uszipcode,33.964876,-118.412978,2020-08-20 21:58:16.104609
25,2315 KENILWORTH AVENUE,LOS ANGELES,CA,90039-3041,90039,34.12,-118.26,Los Angeles,ZIP5_uszipcode,34.101324,-118.267477,2020-08-20 21:58:16.367919
26,133 N SUNOL DRIVE,LOS ANGELES,CA,90063-1429,90063,34.04,-118.19,Los Angeles,ZIP5_uszipcode,34.037029,-118.179262,2020-08-20 21:58:16.605294
27,7817 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,91605-2523,91605,34.21,-118.4,North Hollywood,ZIP5_uszipcode,34.21273167,-118.38849667,2020-08-20 21:58:16.826795
28,1535 N FORMOSA AVENUE,LOS ANGELES,CA,90046-3601,90046,34.11,-118.37,Los Angeles,ZIP5_uszipcode,34.098859,-118.347322,2020-08-20 21:58:17.139236
