anyID,address,city,state,zip,country,newzip,ziplat,ziplon,zip_geo_city,lat,lon,azip
21215,123 MAIN ST.,MEMPHIS,TN,38104,US,38104,35.14,-90.0,Memphis,35.141755,-90.054493,38126
21221,123 MAIN ST.,MEMPHIS,TN,38106,US,38106,35.1,-90.09,Memphis,35.141755,-90.054493,38126
21224,123 MAIN ST.,MEMPHIS,TN,38107,US,38107,35.18,-90.02,Memphis,35.141755,-90.054493,38126
21227,123 MAIN ST.,MEMPHIS,TN,38108,US,38108,35.17,-89.96,Memphis,35.141755,-90.054493,38126
21230,123 MAIN ST.,MEMPHIS,TN,38109,US,38109,35.1,-90.2,Memphis,35.141755,-90.054493,38126
21470,123 MAIN ST.,NASHVILLE,TN,37205,US,37205,36.11,-86.87,Nashville,36.171198772491344,-86.7690525276809,37213
21471,123 MAIN ST.,NASHVILLE,TN,37206,US,37206,36.18,-86.73,Nashville,36.171198772491344,-86.7690525276809,37213
21472,123 MAIN ST.,NASHVILLE,TN,37207,US,37207,36.24,-86.78,Nashville,36.171198772491344,-86.7690525276809,37213
21474,123 MAIN ST.,NASHVILLE,TN,37208,US,37208,36.18,-86.81,Nashville,36.171198772491344,-86.7690525276809,37213
21475,123 MAIN ST.,NASHVILLE,TN,37209,US,37209,36.15,-86.9,Nashville,36.171198772491344,-86.7690525276809,37213
50391,123 MAIN ST.,SAVANNAH,GA,31401,US,31401,32.07,-81.09,Savannah,32.11102,-81.14884833,31408
50394,123 MAIN ST.,SAVANNAH,GA,31404,US,31404,32.05,-81.03,Savannah,32.11102,-81.14884833,31408
50397,123 MAIN ST.,SAVANNAH,GA,31405,US,31405,32.04,-81.17,Savannah,32.11102,-81.14884833,31408
50401,123 MAIN ST.,SAVANNAH,GA,31406,US,31406,31.97,-81.08,Savannah,32.11102,-81.14884833,31408
50595,123 MAIN ST.,BEAUFORT,SC,29902,US,29902,32.38,-80.7,Beaufort,32.9269,-81.187779,29911
50603,123 MAIN ST.,BEAUFORT,SC,29906,US,29906,32.5,-80.8,Beaufort,32.9269,-81.187779,29911
70731,123 MAIN ST.,CHICAGO,IL,60605,US,60605,41.87,-87.62,Chicago,41.884237,-88.203945,60185
70733,123 MAIN ST.,CHICAGO,IL,60607,US,60607,41.87,-87.65,Chicago,41.884237,-88.203945,60185
70734,123 MAIN ST.,CHICAGO,IL,60608,US,60608,41.85,-87.68,Chicago,41.884237,-88.203945,60185
70736,123 MAIN ST.,CHICAGO,IL,60609,US,60609,41.81,-87.66,Chicago,41.884237,-88.203945,60185
