anyID,address,city,state,zip,country,newzip,ziplat,ziplon,zip_geo_city,lat,lon,azip
BIGPINK,56 Parnassus Ln,West Saugerties,NY,12477,USA,12477,42.1,-74.0,Saugerties,42.077798,-74.051302,12477
ERICC,461 Ocean Boulevard,GOLDEN BEACH,FL,33160,USA,33160,25.94,-80.14,North Miami Beach,25.968378,-80.118996,33180
DYLANHWY61,MN 61,DULUTH,MN,55812,USA,55812,46.81,-92.07,Duluth,46.8093055092865,-92.0607670156985,55812
IPHQ9,123 MAIN ST.,,,38197,USA,38197,,,Memphis,31.143612901729412,-89.41251720830918,39475
MEMPHO,123 MAIN ST.,MEMPHIS,,,USA,,,,,31.143612901729412,-89.41251720830918,39475
MEMPHO,123 MAIN ST.,MEMPHIS,,38120,USA,38120,35.13,-89.84,Memphis,42.90566510837496,-82.76970010843544,48041
CORKYS,5255 POPLAR,,,38119,USA,38119,35.08,-89.84,Memphis,18.776561737060547,100.7740478515625,63001
WRONGZIP,5255 POPLAR,,,38120,USA,38120,35.13,-89.84,Memphis,18.776561737060547,100.7740478515625,63001
typoCORKZZ,5525 POPLAR,,,38119,USA,38119,35.08,-89.84,Memphis,18.776561737060547,100.7740478515625,63001
typoWRONGZIP2,5525 POPLAR,,,38120,USA,38120,35.13,-89.84,Memphis,18.776561737060547,100.7740478515625,63001
NFLATL,123 MAIN ST.,Atlanta,Georgia,,USA,,,,,33.662853,-84.446645,30344
NFLBAL,123 MAIN ST.,Baltimore,Maryland,,USA,,,,,39.242681,-76.512233,21222
NFLNE,123 MAIN ST.,Boston,Massachusetts,,USA,,,,,42.37426333,-71.06345667,02129
NFLBUF,123 MAIN ST.,Buffalo,New York,,USA,,,,,42.877565,-78.876919,14204
NFLCAR,123 MAIN ST.,Charlotte,North Carolina,,USA,,,,,35.084897,-80.887685,28134
NFLCHI,123 MAIN ST.,Chicago,Illinois,,USA,,,,,41.884237,-88.203945,60185
eCHI,123 MAIN ST.,Chicago,IL,,USA,,,,,41.884237,-88.203945,60185
fCHI,123 MAIN ST.,Cicaggo,Illinois,,USA,,,,,41.884237,-88.203945,60185
gCHI,123 MAIN ST.,Cicaggo,Illinois,,USA,,,,,41.884237,-88.203945,60185
hCHI,123 MAIN ST.,Chitown,IL,,USA,,,,,32.2733260002433,-106.765224498844,88001
iCHI,123 MAIN ST.,WindyCity,IL,,USA,,,,,40.39158760328761,-91.35635422925901,62341
NFLCIN,123 MAIN ST.,Cincinatti,Ohio,,USA,,,,,39.102375,-84.50025,45202
NFLCLE,123 MAIN ST.,Cleveland,Ohio,,USA,,,,,41.45887333,-81.95144667,44145
NFLDAL,123 MAIN ST.,Dallas,Texas,,USA,,,,,33.119012704317925,-97.0291019850673,75065
