AnyID,address,city,state,zip,country,newzip,ziplat,ziplon,zip_geo_city,lat,lon,azip
10010,568 Shore Airport Rd,Ticonderoga,NY,12883,USA,12883,43.9,-73.5,Ticonderoga,43.8919383,-73.400145,63001
10205,601 County Rd 78,Selma,AL,36703,USA,36703,32.5,-86.9,Selma,32.427642,-86.869804,63001
10240,3737 Hwy 3 N,Redwood,MS,39156,USA,39156,32.5,-90.8,Redwood,32.527863,-90.775234,63001
10241,9978 FM Rd 3129,Queen City,TX,75572,USA,75572,33.2,-94.1,Queen City,33.2560596,-94.0717333,63001
10259,700 S Kaminski St,GEORGETOWN,SC,29440,USA,29440,33.4,-79.4,Georgetown,33.3650366,-79.2995651,63001
10268,1202 HIGHWAY 509,MANSFIELD,LA,71052,USA,71052,32.0,-93.7,Mansfield,32.1564267,-93.5567067,63001
10618,375 MUSCOGEE RD,PENSACOLA,FL,32533,USA,32533,30.62,-87.32,Cantonment,30.605975,-87.32426,32533
10660,4278 MIKE PADGETT HWY,AUGUSTA,GA,30906,USA,30906,33.3,-82.0,Augusta,33.33014,-81.9538317,63001
10661,865 John L. Riegel Rd,RIEGELWOOD,NC,28456,USA,28456,34.4,-78.3,Riegelwood,34.3502311,-78.2132601,63001
10769,4001 Mc Cords Ferry Rd,EASTOVER,SC,29044,USA,29044,33.9,-80.7,Eastover,33.8857817,-80.6420567,63001
10776,34040 UNION CAMP DR,FRANKLIN,VA,23851,USA,23851,36.7,-77.0,Franklin,36.6792823,-76.9099878,63001
10867,100 Jensen Rd,PRATTVILLE,AL,36067,USA,36067,32.5,-86.6,Prattville,32.436497,-86.468105,63001
10899,1201 W LATHROP AVE,SAVANNAH,GA,31415,USA,31415,32.08,-81.13,Savannah,32.097667,-81.124115,31415
11808,2434 NEW SAVANNAH RD,AUGUSTA,GA,30913,USA,30913,,,Augusta,33.4292025000549,-81.9883030001921,30901
17106,7600 HIGHWAY 10 W,PINE HILL,AL,36769,USA,36769,32.0,-87.5,Pine Hill,31.9701963,-87.4786112,63001
17110,4537 HIGHWAY 480,CAMPTI,LA,71411,USA,71411,31.9,-93.1,Campti,31.908277,-93.174944,63001
17113,890 INTERNATIONAL PAPER LN,VALLIANT,OK,74764,USA,74764,34.0,-95.1,Valliant,34.01980972290039,-95.0782699584961,74764
17115,801 42ND ST,SPRINGFIELD,OR,97478,USA,97478,44.1,-122.8,Springfield,44.0543637,-122.9573678,63001
17444,238 MAYS BRIDGE RD SW,ROME,GA,30165,USA,30165,34.3,-85.3,Rome,34.255166,-85.325135,63001
17445,401 AVENUE U,BOGALUSA,LA,70427,USA,70427,30.8,-89.9,Bogalusa,30.774043,-89.857013,63001
17448,1750 IP Way,ORANGE,TX,77632,USA,77632,30.2,-93.8,Orange,30.186357498168945,-93.7959976196289,77632
17620,2449 STAGECOACH RD,FLINT RIVER,GA,31068,USA,31068,32.3,-84.1,Oglethorpe,32.254692,-84.0691993,63001
17621,1785 WEYERHAEUSER RD,NEW BERN,NC,28563,USA,28563,,,New Bern,35.2159767,-77.119441,63001
17622,4335 CARSON RD,COLUMBUS,MS,39701,USA,39701,33.4,-88.5,Columbus,33.360773,-88.4564132,63001
17623,1 BONNYBRIDGE RD,PORT WENTWORTH,GA,31407,USA,31407,32.18,-81.18,Savannah,32.155682,-81.159018,63001
19311,115 Gordon McIntyre Rd,GORDON,GA,31031,USA,31031,32.9,-83.3,Gordon,32.89254896776095,-83.30100966992404,31031
19315,1380 Morris Rd,Madison,GA,30650,USA,30650,33.6,-83.4,Madison,33.615286,-83.4363477,63001
19320,1950 Hard Cash Rd NW,DEWY ROSE,GA,30634,USA,30634,34.2,-82.9,Dewy Rose,34.1831743,-82.9647578,63001
19322,5690 Hwy 486,Natchitoches,LA,71411,USA,71411,31.9,-93.1,Campti,31.825985,-93.079645,63001
19324,20 HILLCREST LN,COLUMBIA,MS,39429,USA,39429,31.2,-89.8,Columbia,31.2927483,-89.8414933,63001
19655,177 Strother Rd,EASTOVER,SC,29379,USA,29379,34.7,-81.6,Union,34.651082,-81.527554,63001
19744,598 Plywood Plant Rd,SILVERSTREET,SC,29145,USA,29145,34.22,-81.77,Silverstreet,34.2117805480957,-81.75643157958984,29145
19745,5956 S. Fraser St,GEORGETOWN,SC,29440,USA,29440,33.4,-79.4,Georgetown,33.30079,-79.3449288,63001
19760,35080 BUTLER FARM RD,FRANKLIN,VA,23851,USA,23851,36.7,-77.0,Franklin,36.663026,-76.912901,63001
19764,8510 River Rd,Selma,AL,36701,USA,36701,32.5,-87.0,Selma,32.4062925,-86.8758215,63001
19766,Red Cliff Rd,Creola,AL,36525,USA,36525,30.9,-88.0,Creola,30.894428253173828,-88.03092193603516,36525
19777,2837 River Rd.,WAYNESBORO,GA,29440,USA,29440,33.4,-79.4,Georgetown,33.242824,-81.933612,63001
19855,635 John L Riegel Road,CAPE FEAR,NC,28456,USA,28456,34.4,-78.3,Riegelwood,34.355268853131456,-78.22002721543429,63001
19865,151 County Road 35,Evergreen,AL,36401,USA,36401,31.5,-86.9,Evergreen,31.4303417,-86.86749,63001
19880,F.M. Rd 3129,Queen City,TX,75572,USA,75572,33.2,-94.1,Queen City,33.1797294779239,-94.0706575758307,63001
19882,1202 Hwy 509,Mansfield,LA,71052,USA,71052,32.0,-93.7,Mansfield,32.1564267,-93.5567067,63001
19884,200 Jensen Rd,Prattville,AL,36067,USA,36067,32.5,-86.6,Prattville,32.4204953,-86.4762897,63001
19992,1075 Woodyard Rd,OLLA,LA,71465,USA,71465,31.9,-92.2,Olla,31.9142598,-92.2233878,71465
21444,2806 Williamson Way,SHREVEPORT,LA,71118,USA,71118,32.39,-93.81,Shreveport,32.386649,-93.812517,71118
