AnyID,address,city,state,zip,country,newzip,ziplat,ziplon,zip_geo_city,zip_status,lat,lng,time
0003,Hudson River Mill,HUDSON RIVER,NY,,US,,N/A,N/A,N/A,N/A,43.92301559448242,-74.15512084960938,2020-08-20 20:56:46.132482
0010,568 Shore Airport Rd,Ticonderoga,NY,12883,US,12883,43.9,-73.5,Ticonderoga,ZIP5_uszipcode,43.89193833,-73.400145,2020-08-20 20:56:46.351195
0034,"Riley Road, PO Box 20",Jay,ME,04239,US,04239,44.52,-70.22,Jay,ZIP5_uszipcode,44.50664167,-70.240515,2020-08-20 20:56:46.578875
0063,77622 US Hwy 101,Gardiner,OR,97441,US,97441,43.8,-124.1,Gardiner,ZIP5_uszipcode,43.74335,-124.118152,2020-08-20 20:56:46.828041
0085,2401 PRAIRIETON RD,TERRE HAUTE,IN,47802,US,47802,39.4,-87.4,Terre Haute,ZIP5_uszipcode,39.442,-87.42558,2020-08-20 20:56:47.109243
0113,361 FEDERAL RD,RIEGELWOOD,NC,28456,US,28456,34.4,-78.3,Riegelwood,ZIP5_uszipcode,34.337564,-78.242966,2020-08-20 20:56:47.296712
01IA,2800 Dixon Street,Des Moines,IA,50316,US,50316,41.61,-93.6,Des Moines,ZIP5_uszipcode,41.619455,-93.58994,2020-08-20 20:56:47.577914
01IL,1225 W. Bryn Mawr Ave,Itasca,IL,60143,US,60143,41.97,-88.02,Itasca,ZIP5_uszipcode,41.977031,-88.032685,2020-08-20 20:56:47.827874
0201,1640 E Lake Rd,Erie,PA,16533,US,16533,,,Erie,ZIP5_uszipcode,42.14771667,-80.053265,2020-08-20 20:56:48.140321
0202,Park Street Entrance,Lock Haven,PA,17745,US,17745,41.3,-77.4,Lock Haven,ZIP5_uszipcode,41.1252961500003,-77.4489090000204,2020-08-20 20:56:48.343410
0204,101 Mitchell St,Oswego,NY,13126,US,13126,43.4,-76.5,Oswego,ZIP5_uszipcode,43.46989,-76.49512167,2020-08-20 20:56:48.546504
0205,601 County Rd 78,Selma,AL,36703,US,36703,32.5,-86.9,Selma,ZIP5_uszipcode,32.424746,-86.870399,2020-08-20 20:56:48.890195
0230,705 Colliers Lane,Bastrop,LA,71220,US,71220,32.8,-91.9,Bastrop,ZIP5_uszipcode,32.781492,-91.907891,2020-08-20 20:56:49.202642
0240,3737 Hwy 3 N,Redwood,MS,39156,US,39156,32.5,-90.8,Redwood,ZIP5_uszipcode,32.527259,-90.776542,2020-08-20 20:56:49.468222
0241,9978 FM Rd 3129,Queen City,TX,75572,US,75572,33.2,-94.1,Queen City,ZIP5_uszipcode,33.2560596,-94.0717333,2020-08-20 20:56:49.702555
